ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,,
1,1,0,0,5,3,0,2,1,2,0,0,0,,14
2,1,0,0,3,0,0,0,0,1,0,0,0,,5
3,0,1,0,0,0,0,0,0,0,0,0,0,,1
5,0,0,6,2,2,0,6,0,16,0,0,0,,32
6,1,0,0,0,0,1,1,0,0,0,0,0,,3
7,0,1,1,1,0,0,0,0,0,0,0,0,,3
8,1,0,0,0,0,0,1,0,0,0,0,0,,2
9,1,1,0,0,0,1,0,0,2,3,0,0,,8
10,2,0,0,6,0,9,9,0,0,0,1,0,,27
11,2,1,0,0,8,0,1,1,4,0,0,0,,17
12,0,0,3,0,2,0,0,0,0,0,0,0,,5
16,1,0,0,1,0,0,1,0,0,0,0,0,,3
17,0,0,0,0,1,0,0,0,0,0,0,0,,1
18,2,0,0,1,0,0,0,0,0,0,0,0,,3
19,0,0,0,0,0,0,0,0,0,0,0,0,,0
20,1,0,0,2,0,0,0,1,2,0,0,0,,6
21,0,0,0,6,1,0,0,0,0,0,0,0,,7
22,0,0,0,0,0,0,0,0,0,0,0,0,,0
23,1,0,0,0,1,0,0,2,0,0,0,0,,4
24,0,0,0,1,0,0,3,2,0,0,0,0,,6
25,0,2,0,2,0,0,5,0,0,3,2,2,,16
27,0,0,0,2,1,0,4,0,0,1,0,0,,8
